Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,19,64394,1996297,Los Angeles,Claremont Unified,Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,16,11,68.8%,14,87.5%,16,11,68.8%,14,87.5%,Y
2016-2017,19,64394,6012157,Los Angeles,Claremont Unified,Chaparral Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,648,83,12.8%,111,17.1%,648,83,12.8%,111,17.1%,Y
2016-2017,19,64394,6012165,Los Angeles,Claremont Unified,Condit Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,686,154,22.4%,182,26.5%,686,154,22.4%,182,26.5%,Y
2016-2017,19,64394,6012173,Los Angeles,Claremont Unified,Danbury Special Education,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,8,57,15,26.3%,19,33.3%,56,15,26.8%,19,33.9%,Y
2016-2017,19,64394,6012181,Los Angeles,Claremont Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,512,238,46.5%,287,56.1%,512,238,46.5%,287,56.1%,Y
2016-2017,19,64394,6012199,Los Angeles,Claremont Unified,Oakmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,282,115,40.8%,154,54.6%,264,108,40.9%,145,54.9%,Y
2016-2017,19,64394,6012207,Los Angeles,Claremont Unified,Sumner Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,526,214,40.7%,241,45.8%,500,210,42.0%,236,47.2%,Y
2016-2017,19,64394,6012215,Los Angeles,Claremont Unified,Sycamore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,400,45,11.3%,56,14.0%,400,45,11.3%,56,14.0%,Y
2016-2017,19,64394,6012223,Los Angeles,Claremont Unified,Vista del Valle Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,335,204,60.9%,260,77.6%,335,204,60.9%,260,77.6%,Y
2016-2017,19,64394,6057541,Los Angeles,Claremont Unified,El Roble Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1108,312,28.2%,386,34.8%,1108,312,28.2%,386,34.8%,Y
2016-2017,19,64436,0000001,Los Angeles,Covina-Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
2016-2017,19,64436,0118646,Los Angeles,Covina-Valley Unified,Vincent Children's Center,Unified School District,Preschool,Traditional,N/A,No ,N/A,N/A,N,P,P,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,Y
2016-2017,19,64436,1931617,Los Angeles,Covina-Valley Unified,Fairvalley High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,159,107,67.3%,123,77.4%,142,95,66.9%,109,76.8%,Y
2016-2017,19,64436,1932086,Los Angeles,Covina-Valley Unified,Covina High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1270,675,53.1%,898,70.7%,1256,668,53.2%,885,70.5%,Y
2016-2017,19,64436,1936418,Los Angeles,Covina-Valley Unified,Northview High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1314,736,56.0%,910,69.3%,1290,722,56.0%,894,69.3%,Y
2016-2017,19,64436,1938372,Los Angeles,Covina-Valley Unified,South Hills High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1647,686,41.7%,885,53.7%,1620,672,41.5%,868,53.6%,Y
2016-2017,19,64436,6012439,Los Angeles,Covina-Valley Unified,Barranca Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,624,355,56.9%,416,66.7%,604,343,56.8%,402,66.6%,Y
2016-2017,19,64436,6012447,Los Angeles,Covina-Valley Unified,Ben Lomond Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,472,326,69.1%,379,80.3%,454,316,69.6%,368,81.1%,Y
2016-2017,19,64436,6012470,Los Angeles,Covina-Valley Unified,Cypress Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,673,447,66.4%,522,77.6%,651,433,66.5%,506,77.7%,Y
2016-2017,19,64436,6012512,Los Angeles,Covina-Valley Unified,Grovecenter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,499,276,55.3%,361,72.3%,479,269,56.2%,347,72.4%,Y
2016-2017,19,64436,6012520,Los Angeles,Covina-Valley Unified,Lark Ellen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,364,250,68.7%,303,83.2%,354,245,69.2%,298,84.2%,Y
2016-2017,19,64436,6012538,Los Angeles,Covina-Valley Unified,Las Palmas Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,878,549,62.5%,674,76.8%,878,549,62.5%,674,76.8%,Y
2016-2017,19,64436,6012546,Los Angeles,Covina-Valley Unified,Manzanita Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,252,170,67.5%,204,81.0%,238,164,68.9%,196,82.4%,Y
2016-2017,19,64436,6012553,Los Angeles,Covina-Valley Unified,Merwin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,390,259,66.4%,299,76.7%,371,248,66.8%,287,77.4%,Y
2016-2017,19,64436,6012561,Los Angeles,Covina-Valley Unified,Mesa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,666,225,33.8%,285,42.8%,642,217,33.8%,275,42.8%,Y
2016-2017,19,64436,6012587,Los Angeles,Covina-Valley Unified,Rowland Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,519,300,57.8%,383,73.8%,506,293,57.9%,373,73.7%,Y
2016-2017,19,64436,6012595,Los Angeles,Covina-Valley Unified,Sierra Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,818,408,49.9%,532,65.0%,818,408,49.9%,532,65.0%,Y
2016-2017,19,64436,6012611,Los Angeles,Covina-Valley Unified,Traweek Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,879,484,55.1%,633,72.0%,879,484,55.1%,633,72.0%,Y
2016-2017,19,64436,6012645,Los Angeles,Covina-Valley Unified,Workman Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,484,302,62.4%,363,75.0%,467,290,62.1%,350,74.9%,Y
2016-2017,19,64444,0000001,Los Angeles,Culver City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,0,0.0%,0,0.0%,27,0,0.0%,0,0.0%,Y
2016-2017,19,64444,0128322,Los Angeles,Culver City Unified,Culver City Unified School District iAcademy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,22,4,18.2%,4,18.2%,21,3,14.3%,3,14.3%,Y
2016-2017,19,64444,1932201,Los Angeles,Culver City Unified,Culver City High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2076,568,27.4%,704,33.9%,2039,558,27.4%,694,34.0%,Y
2016-2017,19,64444,1932656,Los Angeles,Culver City Unified,Culver Park High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,38,15,39.5%,18,47.4%,35,13,37.1%,16,45.7%,Y
2016-2017,19,64444,6012660,Los Angeles,Culver City Unified,Linwood E. Howe Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,548,133,24.3%,180,32.8%,531,129,24.3%,176,33.1%,Y
2016-2017,19,64444,6012678,Los Angeles,Culver City Unified,El Marino Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,823,59,7.2%,81,9.8%,809,57,7.0%,78,9.6%,Y
2016-2017,19,64444,6012686,Los Angeles,Culver City Unified,El Rincon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,552,163,29.5%,207,37.5%,541,161,29.8%,204,37.7%,Y
2016-2017,19,64444,6012694,Los Angeles,Culver City Unified,Farragut Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,572,46,8.0%,67,11.7%,572,46,8.0%,67,11.7%,Y
2016-2017,19,64444,6012702,Los Angeles,Culver City Unified,La Ballona Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,580,242,41.7%,314,54.1%,568,238,41.9%,309,54.4%,Y
2016-2017,19,64444,6057608,Los Angeles,Culver City Unified,Culver City Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1617,391,24.2%,519,32.1%,1617,391,24.2%,519,32.1%,Y
2016-2017,19,64451,0000001,Los Angeles,Downey Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,36,42.9%,42,50.0%,72,35,48.6%,41,56.9%,Y
2016-2017,19,64451,1931625,Los Angeles,Downey Unified,Columbus Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,228,130,57.0%,159,69.7%,209,116,55.5%,143,68.4%,Y
2016-2017,19,64451,1932441,Los Angeles,Downey Unified,Downey High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,4221,2024,48.0%,2749,65.1%,4137,1984,48.0%,2698,65.2%,Y
2016-2017,19,64451,1939164,Los Angeles,Downey Unified,Warren High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3678,1762,47.9%,2440,66.3%,3621,1733,47.9%,2405,66.4%,Y
2016-2017,19,64451,6012736,Los Angeles,Downey Unified,Gauldin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,628,460,73.2%,552,87.9%,612,450,73.5%,541,88.4%,Y
2016-2017,19,64451,6012744,Los Angeles,Downey Unified,Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,610,384,63.0%,459,75.2%,586,372,63.5%,445,75.9%,Y
2016-2017,19,64451,6012751,Los Angeles,Downey Unified,Carpenter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,491,318,64.8%,408,83.1%,491,318,64.8%,408,83.1%,Y
2016-2017,19,64451,6012777,Los Angeles,Downey Unified,Ward Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,438,294,67.1%,355,81.1%,426,289,67.8%,347,81.5%,Y
2016-2017,19,64451,6012785,Los Angeles,Downey Unified,Lewis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,786,459,58.4%,570,72.5%,771,447,58.0%,557,72.2%,Y
2016-2017,19,64451,6012793,Los Angeles,Downey Unified,Unsworth Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,690,378,54.8%,508,73.6%,679,374,55.1%,503,74.1%,Y
2016-2017,19,64451,6012801,Los Angeles,Downey Unified,Gallatin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,701,285,40.7%,371,52.9%,688,279,40.6%,365,53.1%,Y
2016-2017,19,64451,6012819,Los Angeles,Downey Unified,Imperial Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,541,344,63.6%,426,78.7%,524,330,63.0%,412,78.6%,Y
2016-2017,19,64451,6012835,Los Angeles,Downey Unified,Price Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,844,384,45.5%,517,61.3%,833,380,45.6%,513,61.6%,Y
2016-2017,19,64451,6012868,Los Angeles,Downey Unified,Rio Hondo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,805,457,56.8%,575,71.4%,790,449,56.8%,565,71.5%,Y
2016-2017,19,64451,6012876,Los Angeles,Downey Unified,Rio San Gabriel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,821,348,42.4%,454,55.3%,806,344,42.7%,445,55.2%,Y
2016-2017,19,64451,6012900,Los Angeles,Downey Unified,Williams Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,739,399,54.0%,519,70.2%,723,389,53.8%,506,70.0%,Y
2016-2017,19,64451,6057616,Los Angeles,Downey Unified,Doty Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1386,638,46.0%,877,63.3%,1386,638,46.0%,877,63.3%,Y
2016-2017,19,64451,6057624,Los Angeles,Downey Unified,Griffiths Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1347,679,50.4%,906,67.3%,1347,679,50.4%,906,67.3%,Y
2016-2017,19,64451,6057632,Los Angeles,Downey Unified,Sussman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1189,750,63.1%,949,79.8%,1189,750,63.1%,949,79.8%,Y
2016-2017,19,64451,6057640,Los Angeles,Downey Unified,Stauffer Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1366,753,55.1%,1026,75.1%,1366,753,55.1%,1026,75.1%,Y
2016-2017,19,64451,6114235,Los Angeles,Downey Unified,Old River Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,710,413,58.2%,528,74.4%,710,413,58.2%,528,74.4%,Y
2016-2017,19,64469,0128736,Los Angeles,Duarte Unified,Opportunities for Learning - Duarte,Unified School District,High Schools (Public),Traditional,N/A,Yes,1599,Directly funded,Y,7,12,297,155,52.2%,212,71.4%,232,116,50.0%,162,69.8%,Y
2016-2017,19,64469,1932482,Los Angeles,Duarte Unified,Duarte High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,948,489,51.6%,630,66.5%,926,480,51.8%,615,66.4%,Y
2016-2017,19,64469,1936079,Los Angeles,Duarte Unified,Mt. Olive Innovation and Technology High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,55,35,63.6%,41,74.5%,49,33,67.3%,39,79.6%,Y
2016-2017,19,64469,6012918,Los Angeles,Duarte Unified,Andres Duarte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,333,231,69.4%,281,84.4%,324,228,70.4%,276,85.2%,Y
2016-2017,19,64469,6012926,Los Angeles,Duarte Unified,Beardslee Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,342,243,71.1%,286,83.6%,330,234,70.9%,277,83.9%,Y
2016-2017,19,64469,6012934,Los Angeles,Duarte Unified,Maxwell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,368,279,75.8%,334,90.8%,367,278,75.7%,333,90.7%,Y
2016-2017,19,64469,6012942,Los Angeles,Duarte Unified,Royal Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,493,204,41.4%,284,57.6%,492,204,41.5%,284,57.7%,Y
2016-2017,19,64469,6012959,Los Angeles,Duarte Unified,Valley View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,386,159,41.2%,224,58.0%,376,156,41.5%,218,58.0%,Y
2016-2017,19,64469,6057665,Los Angeles,Duarte Unified,Northview Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,511,298,58.3%,381,74.6%,511,298,58.3%,381,74.6%,Y
2016-2017,19,64477,0122929,Los Angeles,Eastside Union Elementary,Eastside Academy/Transitional Learning Center,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,3,8,3,3,100.0%,3,100.0%,3,3,100.0%,3,100.0%,Y
2016-2017,19,64477,0129197,Los Angeles,Eastside Union Elementary,Enterprise Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,742,547,73.7%,575,77.5%,727,535,73.6%,563,77.4%,Y
2016-2017,19,64477,6012967,Los Angeles,Eastside Union Elementary,Eastside Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,593,492,83.0%,524,88.4%,585,486,83.1%,518,88.5%,Y
2016-2017,19,64477,6106421,Los Angeles,Eastside Union Elementary,Columbia Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,6,764,634,83.0%,679,88.9%,755,625,82.8%,670,88.7%,Y
2016-2017,19,64477,6108294,Los Angeles,Eastside Union Elementary,Gifford C. Cole Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,678,526,77.6%,564,83.2%,678,526,77.6%,564,83.2%,Y
2016-2017,19,64477,6114227,Los Angeles,Eastside Union Elementary,Tierra Bonita Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,617,504,81.7%,539,87.4%,607,499,82.2%,533,87.8%,Y
2016-2017,19,64485,0000000,Los Angeles,East Whittier City Elementary,District Office,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,8,55,22,40.0%,26,47.3%,55,22,40.0%,26,47.3%,Y
2016-2017,19,64485,0000001,Los Angeles,East Whittier City Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,16.7%,1,16.7%,6,1,16.7%,1,16.7%,Y
2016-2017,19,64485,6012975,Los Angeles,East Whittier City Elementary,Ceres Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,395,215,54.4%,271,68.6%,395,215,54.4%,271,68.6%,Y
2016-2017,19,64485,6012991,Los Angeles,East Whittier City Elementary,East Whittier Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1235,490,39.7%,649,52.6%,1235,490,39.7%,649,52.6%,Y
2016-2017,19,64485,6013007,Los Angeles,East Whittier City Elementary,Evergreen Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,456,337,73.9%,383,84.0%,426,317,74.4%,363,85.2%,Y
2016-2017,19,64485,6013015,Los Angeles,East Whittier City Elementary,Granada Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1153,329,28.5%,466,40.4%,1153,329,28.5%,466,40.4%,Y
2016-2017,19,64485,6013023,Los Angeles,East Whittier City Elementary,Hillview Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,681,362,53.2%,450,66.1%,681,362,53.2%,450,66.1%,Y
2016-2017,19,64485,6013031,Los Angeles,East Whittier City Elementary,La Colima Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,492,299,60.8%,363,73.8%,492,299,60.8%,363,73.8%,Y
2016-2017,19,64485,6013049,Los Angeles,East Whittier City Elementary,Laurel Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,632,344,54.4%,429,67.9%,632,344,54.4%,429,67.9%,Y
2016-2017,19,64485,6013072,Los Angeles,East Whittier City Elementary,Mulberry Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,569,332,58.3%,394,69.2%,555,328,59.1%,389,70.1%,Y
2016-2017,19,64485,6013080,Los Angeles,East Whittier City Elementary,Murphy Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,559,66,11.8%,89,15.9%,559,66,11.8%,89,15.9%,Y
2016-2017,19,64485,6013098,Los Angeles,East Whittier City Elementary,Ocean View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,770,187,24.3%,230,29.9%,770,187,24.3%,230,29.9%,Y
2016-2017,19,64485,6013106,Los Angeles,East Whittier City Elementary,Orchard Dale Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,589,221,37.5%,294,49.9%,578,221,38.2%,292,50.5%,Y
2016-2017,19,64485,6013114,Los Angeles,East Whittier City Elementary,Scott Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,615,222,36.1%,274,44.6%,615,222,36.1%,274,44.6%,Y
2016-2017,19,64485,6089148,Los Angeles,East Whittier City Elementary,Leffingwell Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,622,125,20.1%,170,27.3%,622,125,20.1%,170,27.3%,Y
2016-2017,19,64501,6013130,Los Angeles,El Monte City,Cherrylee Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,417,299,71.7%,347,83.2%,417,299,71.7%,347,83.2%,Y
2016-2017,19,64501,6013148,Los Angeles,El Monte City,Cleminson Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,383,216,56.4%,265,69.2%,375,211,56.3%,260,69.3%,Y
2016-2017,19,64501,6013155,Los Angeles,El Monte City,Columbia Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,900,766,85.1%,830,92.2%,900,766,85.1%,830,92.2%,Y
2016-2017,19,64501,6013163,Los Angeles,El Monte City,Cortada Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,412,360,87.4%,395,95.9%,401,351,87.5%,386,96.3%,Y
2016-2017,19,64501,6013171,Los Angeles,El Monte City,Durfee Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,991,736,74.3%,846,85.4%,991,736,74.3%,846,85.4%,Y
2016-2017,19,64501,6013189,Los Angeles,El Monte City,Shirpser Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,617,573,92.9%,599,97.1%,610,567,93.0%,592,97.0%,Y
2016-2017,19,64501,6013197,Los Angeles,El Monte City,Gidley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,501,415,82.8%,456,91.0%,489,405,82.8%,445,91.0%,Y
2016-2017,19,64501,6013205,Los Angeles,El Monte City,Legore Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,525,434,82.7%,485,92.4%,514,427,83.1%,477,92.8%,Y
2016-2017,19,64501,6013221,Los Angeles,El Monte City,New Lexington Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,337,286,84.9%,311,92.3%,337,286,84.9%,311,92.3%,Y
2016-2017,19,64501,6013247,Los Angeles,El Monte City,Potrero Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,865,797,92.1%,838,96.9%,865,797,92.1%,838,96.9%,Y
2016-2017,19,64501,6013254,Los Angeles,El Monte City,Rio Hondo Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,767,508,66.2%,597,77.8%,767,508,66.2%,597,77.8%,Y
2016-2017,19,64501,6013262,Los Angeles,El Monte City,Rio Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,395,300,75.9%,357,90.4%,395,300,75.9%,357,90.4%,Y
2016-2017,19,64501,6013270,Los Angeles,El Monte City,Thompson Elementary,Elementary School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,8,31,15,48.4%,19,61.3%,31,15,48.4%,19,61.3%,Y
2016-2017,19,64501,6013288,Los Angeles,El Monte City,Wilkerson Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,444,398,89.6%,422,95.0%,428,385,90.0%,407,95.1%,Y
2016-2017,19,64501,6013296,Los Angeles,El Monte City,Wright Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,868,675,77.8%,792,91.2%,868,675,77.8%,792,91.2%,Y
2016-2017,19,64519,0000001,Los Angeles,El Monte Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,28,59.6%,30,63.8%,31,13,41.9%,15,48.4%,Y
2016-2017,19,64519,1930320,Los Angeles,El Monte Union High,Arroyo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2205,1496,67.8%,1861,84.4%,2149,1459,67.9%,1815,84.5%,Y
2016-2017,19,64519,1932664,Los Angeles,El Monte Union High,El Monte High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1866,1506,80.7%,1759,94.3%,1820,1463,80.4%,1713,94.1%,Y
2016-2017,19,64519,1932680,Los Angeles,El Monte Union High,Mountain View High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1355,1107,81.7%,1269,93.7%,1339,1093,81.6%,1254,93.7%,Y
2016-2017,19,64519,1937481,Los Angeles,El Monte Union High,Rosemead High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1813,1098,60.6%,1492,82.3%,1686,1022,60.6%,1398,82.9%,Y
2016-2017,19,64519,1938919,Los Angeles,El Monte Union High,Fernando R. Ledesma Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,359,294,81.9%,323,90.0%,305,247,81.0%,271,88.9%,Y
2016-2017,19,64519,1995661,Los Angeles,El Monte Union High,South El Monte High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1355,1042,76.9%,1223,90.3%,1332,1022,76.7%,1202,90.2%,Y
2016-2017,19,64519,1996123,Los Angeles,El Monte Union High,El Monte Union High School Community Day,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,33,29,87.9%,31,93.9%,30,26,86.7%,28,93.3%,Y
2016-2017,19,64527,0000000,Los Angeles,El Rancho Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,26,6,23.1%,6,23.1%,19,5,26.3%,5,26.3%,Y
